geoId,party
1,Angela Merkel
2,no result
3,Frauke Petry
4,Martin Schulz
5,Frauke Petry
6,Frauke Petry
7,Cem Özdemir
8,Angela Merkel
9,Angela Merkel
10,Frauke Petry
11,Frauke Petry
12,Martin Schulz
13,multiple top results
14,Angela Merkel
15,no result
16,no result
17,Martin Schulz
18,Angela Merkel
19,no cities
20,no cities
21,no cities
22,no cities
23,multiple top results
24,Frauke Petry
25,Martin Schulz
26,Martin Schulz
27,Martin Schulz
28,Martin Schulz
29,no result
30,Martin Schulz
31,Martin Schulz
32,Angela Merkel
33,Frauke Petry
34,multiple top results
35,Cem Özdemir
36,Angela Merkel
37,no result
38,Cem Özdemir
39,Martin Schulz
40,Martin Schulz
41,no cities
42,Angela Merkel
43,Angela Merkel
44,Angela Merkel
45,no result
46,Martin Schulz
47,Frauke Petry
48,Martin Schulz
49,Frauke Petry
50,Angela Merkel
51,Frauke Petry
52,Martin Schulz
53,Angela Merkel
54,Martin Schulz
55,Angela Merkel
56,Martin Schulz
57,Cem Özdemir
58,Sahra Wagenknecht
59,Martin Schulz
60,Frauke Petry
61,Sahra Wagenknecht
62,Martin Schulz
63,Frauke Petry
64,Angela Merkel
65,Cem Özdemir
66,no result
67,Angela Merkel
68,Cem Özdemir
69,Martin Schulz
70,no result
71,no result
72,Cem Özdemir
73,no result
74,no result
75,Martin Schulz
76,no cities
77,no cities
78,no cities
79,no cities
80,no cities
81,no cities
82,no cities
83,no cities
84,no cities
85,no cities
86,no cities
87,Martin Schulz
88,Cem Özdemir
89,Angela Merkel
90,Martin Schulz
91,Cem Özdemir
92,Martin Schulz
93,Angela Merkel
94,no cities
95,no cities
96,Martin Schulz
97,Martin Schulz
98,Angela Merkel
99,Angela Merkel
100,Frauke Petry
101,Martin Schulz
102,Angela Merkel
103,multiple top results
104,Frauke Petry
105,Cem Özdemir
106,Angela Merkel
107,no cities
108,Martin Schulz
109,Martin Schulz
110,Martin Schulz
111,Martin Schulz
112,Angela Merkel
113,Martin Schulz
114,Martin Schulz
115,Martin Schulz
116,no cities
117,Angela Merkel
118,multiple top results
119,Angela Merkel
120,no cities
121,Angela Merkel
122,Frauke Petry
123,Frauke Petry
124,Martin Schulz
125,Angela Merkel
126,Cem Özdemir
127,Martin Schulz
128,Frauke Petry
129,Martin Schulz
130,Angela Merkel
131,Martin Schulz
132,Frauke Petry
133,Martin Schulz
134,Frauke Petry
135,Angela Merkel
136,Angela Merkel
137,Cem Özdemir
138,Martin Schulz
139,Angela Merkel
140,Martin Schulz
141,Martin Schulz
142,Martin Schulz
143,no cities
144,Martin Schulz
145,Sahra Wagenknecht
146,Angela Merkel
147,Angela Merkel
148,Cem Özdemir
149,Angela Merkel
150,Cem Özdemir
151,no result
152,no cities
153,Martin Schulz
154,no result
155,no result
156,no result
157,no result
158,Frauke Petry
159,Frauke Petry
160,Angela Merkel
161,no result
162,Frauke Petry
163,Martin Schulz
164,Angela Merkel
165,Angela Merkel
166,multiple top results
167,Angela Merkel
168,Angela Merkel
169,Angela Merkel
170,Cem Özdemir
171,Frauke Petry
172,Angela Merkel
173,multiple top results
174,Frauke Petry
175,Martin Schulz
176,Cem Özdemir
177,Martin Schulz
178,Angela Merkel
179,Martin Schulz
180,Cem Özdemir
181,multiple top results
182,Angela Merkel
183,no cities
184,Martin Schulz
185,Frauke Petry
186,Martin Schulz
187,Frauke Petry
188,Martin Schulz
189,Angela Merkel
190,no result
191,no result
192,no result
193,Martin Schulz
194,no result
195,Frauke Petry
196,Sahra Wagenknecht
197,no result
198,Angela Merkel
199,Christian Lindner
200,Angela Merkel
201,Martin Schulz
202,Martin Schulz
203,Angela Merkel
204,Cem Özdemir
205,Frauke Petry
206,Martin Schulz
207,Martin Schulz
208,Sahra Wagenknecht
209,Martin Schulz
210,Martin Schulz
211,Angela Merkel
212,Martin Schulz
213,Angela Merkel
214,Cem Özdemir
215,multiple top results
216,Angela Merkel
217,no cities
218,Frauke Petry
219,no cities
220,no cities
221,Martin Schulz
222,Björn Höcke
223,Angela Merkel
224,no result
225,Sahra Wagenknecht
226,multiple top results
227,Cem Özdemir
228,Frauke Petry
229,Martin Schulz
230,Angela Merkel
231,Sahra Wagenknecht
232,Martin Schulz
233,Martin Schulz
234,Angela Merkel
235,Frauke Petry
236,Cem Özdemir
237,Frauke Petry
238,multiple top results
239,Sahra Wagenknecht
240,Frauke Petry
241,Cem Özdemir
242,Martin Schulz
243,Martin Schulz
244,Angela Merkel
245,Martin Schulz
246,Frauke Petry
247,multiple top results
248,Frauke Petry
249,Cem Özdemir
250,Martin Schulz
251,Angela Merkel
252,Angela Merkel
253,Martin Schulz
254,Frauke Petry
255,Martin Schulz
256,Frauke Petry
257,Frauke Petry
258,Angela Merkel
259,no cities
260,Angela Merkel
261,Martin Schulz
262,Frauke Petry
263,Martin Schulz
264,Frauke Petry
265,Cem Özdemir
266,Martin Schulz
267,Frauke Petry
268,Cem Özdemir
269,Cem Özdemir
270,Angela Merkel
271,Cem Özdemir
272,Angela Merkel
273,Angela Merkel
274,Angela Merkel
275,Angela Merkel
276,Angela Merkel
277,Martin Schulz
278,Martin Schulz
279,Angela Merkel
280,Cem Özdemir
281,Martin Schulz
282,Frauke Petry
283,Frauke Petry
284,Martin Schulz
285,Angela Merkel
286,Frauke Petry
287,Martin Schulz
288,Frauke Petry
289,Frauke Petry
290,Martin Schulz
291,Angela Merkel
292,Angela Merkel
293,Angela Merkel
294,Angela Merkel
295,Angela Merkel
296,Martin Schulz
297,Angela Merkel
298,Angela Merkel
299,Angela Merkel